epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,261.608,1.44695,0.77309,1.1653,0.59439,0.72973,0.73155,0.34183,1.69741,3.73091,1.36421,0.000986206,0.000986206,0.000986206
43,265.649,1.49226,0.84457,1.11987,0.59439,0.72973,0.73155,0.34183,1.69741,3.73091,1.36421,0.00099314,0.00099314,0.00099314
44,270.226,1.38564,0.804,1.22075,0.54069,0.7477,0.70575,0.30755,1.80858,3.55378,1.4087,0.000999282,0.000999282,0.000999282
45,274.477,1.30156,0.79931,1.17925,0.54069,0.7477,0.70575,0.30755,1.80858,3.55378,1.4087,0.00100463,0.00100463,0.00100463
46,279.316,1.46314,0.85499,1.20702,0.3999,0.68919,0.54253,0.31218,1.58014,3.69634,1.24982,0.00100919,0.00100919,0.00100919
47,283.925,1.39651,0.78766,1.15294,0.3999,0.68919,0.54253,0.31218,1.58014,3.69634,1.24982,0.00101296,0.00101296,0.00101296
48,288.387,1.40931,0.84807,1.27132,0.76468,0.83784,0.85177,0.47159,1.51172,3.40391,1.19742,0.00101593,0.00101593,0.00101593
49,293.99,1.25963,0.805,1.12546,0.76468,0.83784,0.85177,0.47159,1.51172,3.40391,1.19742,0.00101811,0.00101811,0.00101811
50,299.517,1.39531,0.80073,1.14405,0.83329,0.89189,0.88833,0.50074,1.50375,1.89912,1.18838,0.0010195,0.0010195,0.0010195
51,305.829,1.26395,0.83715,1.20043,0.83329,0.89189,0.88833,0.50074,1.50375,1.89912,1.18838,0.00101,0.00101,0.00101
52,311.857,1.3158,0.71636,1.06596,0.78865,0.86486,0.83203,0.43729,1.55762,1.34921,1.22719,0.0009902,0.0009902,0.0009902
53,316.892,1.39555,0.73855,1.10501,0.78865,0.86486,0.83203,0.43729,1.55762,1.34921,1.22719,0.0009704,0.0009704,0.0009704
54,322.112,1.1742,0.69733,1.10519,0.80989,0.93243,0.905,0.52957,1.37581,1.50153,1.13161,0.0009506,0.0009506,0.0009506
55,328.095,1.34118,0.812,1.22483,0.80989,0.93243,0.905,0.52957,1.37581,1.50153,1.13161,0.0009308,0.0009308,0.0009308
56,334.151,1.17311,0.71341,1.1195,0.8033,0.93243,0.88495,0.50459,1.40743,1.40196,1.14175,0.000911,0.000911,0.000911
57,339.348,1.17159,0.67084,1.08319,0.8033,0.93243,0.88495,0.50459,1.40743,1.40196,1.14175,0.0008912,0.0008912,0.0008912
58,344.512,1.30137,0.70957,1.11292,0.90751,0.93243,0.93329,0.50546,1.55157,1.23118,1.17201,0.0008714,0.0008714,0.0008714
59,349.507,1.38191,0.71072,1.08825,0.90751,0.93243,0.93329,0.50546,1.55157,1.23118,1.17201,0.0008516,0.0008516,0.0008516
60,354.384,1.38665,0.70988,1.10048,0.84586,0.90541,0.86599,0.48087,1.39979,1.06641,1.09599,0.0008318,0.0008318,0.0008318
61,359.538,1.27599,0.67078,1.02877,0.84586,0.90541,0.86599,0.48087,1.39979,1.06641,1.09599,0.000812,0.000812,0.000812
62,364.791,1.33152,0.7303,1.0996,0.85778,0.93243,0.90582,0.55049,1.3372,1.06388,1.09193,0.0007922,0.0007922,0.0007922
63,370.283,1.17429,0.71645,1.12057,0.85778,0.93243,0.90582,0.55049,1.3372,1.06388,1.09193,0.0007724,0.0007724,0.0007724
64,376.229,1.25404,0.68429,1.08794,0.87722,0.83784,0.93949,0.57551,1.38967,1.08965,1.1039,0.0007526,0.0007526,0.0007526
